year,county,cluster,health_outcome_rank,health_fac_rank,length_life_rank,quality_life_rank,health_behaviors_rank,clinical_care_rank
2020,Contra Costa,1,10,9,10,14,8,13
2020,Del Norte,2,45,48,51,25,56,24
2020,El Dorado,1,17,8,19,18,15,12
2020,Fresno,3,48,51,35,56,41,39
2020,Glenn,3,35,47,42,36,38,58
2020,Humboldt,2,47,34,52,28,49,36
2020,Imperial,3,29,58,25,39,45,48
2020,Inyo,1,50,26,49,48,27,19
2020,Kern,3,52,57,46,54,57,54
2020,Kings,3,32,55,27,47,54,57
2020,Lake,2,58,52,58,49,48,51
2020,Lassen,2,42,43,36,45,58,32
2020,Los Angeles,1,21,32,16,27,12,49
2020,Madera,3,38,54,32,51,52,50
2020,Marin,1,1,1,1,1,3,2
2020,Mariposa,2,44,28,47,31,24,41
2020,Mendocino,2,41,38,44,29,36,40
2020,Merced,3,39,53,34,50,43,56
2020,Modoc,2,55,45,56,46,47,47
2020,Mono,1,18,22,3,43,33,29
2020,Monterey,3,22,36,20,38,29,43
2020,Napa,1,8,11,12,11,9,16
2020,Nevada,1,16,16,23,6,16,9
2020,Orange,1,5,7,5,5,4,17
2020,Placer,1,4,3,8,2,5,1
2020,Plumas,2,54,27,48,55,25,27
2020,Riverside,2,26,35,22,40,30,45
2020,Sacramento,2,28,24,26,30,26,21
2020,San Benito,1,20,25,18,22,23,37
2020,San Bernardino,3,40,41,33,53,35,55
2020,San Diego,1,13,18,11,17,13,25
2020,San Francisco,1,6,6,6,8,11,4
2020,San Joaquin,2,34,40,38,33,34,35
2020,San Luis Obispo,1,14,10,21,9,18,5
2020,San Mateo,1,2,2,2,3,2,3
2020,Santa Barbara,1,19,19,17,23,20,18
2020,Santa Clara,1,3,4,4,4,1,7
2020,Santa Cruz,1,12,17,9,15,17,8
2020,Shasta,2,46,29,53,26,39,22
2020,Sierra,2,36,30,29,52,21,42
2020,Siskiyou,2,57,37,54,57,46,30
2020,Solano,1,24,21,24,21,28,20
2020,Sonoma,1,9,12,14,10,10,15
2020,Stanislaus,2,37,39,39,42,40,34
2020,Sutter,2,31,31,37,24,32,33
2020,Tehama,2,49,42,50,41,50,31
2020,Trinity,2,56,46,57,37,51,38
2020,Tulare,3,53,56,40,58,53,46
2020,Tuolumne,2,27,20,43,16,31,6
2020,Ventura,1,11,15,13,13,7,26
2020,Yolo,1,15,13,15,19,14,10
2020,Yuba,2,51,50,55,32,55,52
